C‌DIGO OACI;CIAD;NOME;MUNIC‌PIO ATENDIDO;UF;LATITUDE;LONGITUDE
SBAA;PA0008;CONCEI‌‌O DO ARAGUAIA;CONCEI‌‌O DO ARAGUAIA;PA;8‌ 20' 55'' S;49‌ 18' 11'' W
SBAC;CE0004;AEROPORTO REGIONAL DE CANOA QUEBRADA DRAG‌O DO MAR;ARACATI;CE;4‌ 34' 7'' S;37‌ 48' 17'' W
SBAE;SP0010;BAURU/AREALVA;BAURU;SP;22‌ 9' 28'' S;49‌ 4' 6'' W
SBAQ;SP0012;BARTOLOMEU DE GUSM‌O;ARARAQUARA;SP;21‌ 48' 43'' S;48‌ 7' 59'' W
SBAR;SE0001;SANTA MARIA;ARACAJU;SE;10‌ 59' 7'' S;37‌ 4' 24'' W
SBAT;MT0003;PILOTO OSVALDO MARQUES DIAS;ALTA FLORESTA;MT;9‌ 51' 59'' S;56‌ 6' 18'' W
SBAU;SP0009;ARA‌ATUBA;ARA‌ATUBA;SP;21‌ 8' 39'' S;50‌ 25' 35'' W
SBAX;MG0008;ROMEU ZEMA;ARAX‌;MG;19‌ 33' 47'' S;46‌ 57' 38'' W
SBBE;PA0001;INTERNACIONAL DE BEL‌M/VAL DE CANS/J‌LIO CEZAR RIBEIRO;BEL‌M;PA;1‌ 23' 5'' S;48‌ 28' 44'' W
SBBG;RS0010;COMANDANTE GUSTAVO KRAEMER;BAG‌;RS;31‌ 23' 27'' S;54‌ 6' 35'' W
SBBH;MG0003;PAMPULHA - CARLOS DRUMMOND DE ANDRADE;BELO HORIZONTE;MG;19‌ 51' 7'' S;43‌ 57' 2'' W
SBBI;PR0006;BACACHERI;CURITIBA;PR;25‌ 24' 12'' S;49‌ 14' 1'' W
SBBP;SP0036;ESTADUAL ARTHUR SIQUEIRA;BRAGAN‌A PAULISTA;SP;22‌ 58' 44'' S;46‌ 32' 14'' W
SBBR;DF0001;PRESIDENTE JUSCELINO KUBITSCHEK;BRAS‌LIA;DF;15‌ 52' 9'' S;47‌ 55' 15'' W
SBBU;SP0017;BAURU;BAURU;SP;22‌ 20' 42'' S;49‌ 3' 14'' W
SBBV;RR0001;ATLAS BRASIL CANTANHEDE;BOA VISTA;RR;2‌ 50' 29'' N;60‌ 41' 32'' W
SBBW;MT0008;BARRA DO GAR‌AS;BARRA DO GAR‌AS;MT;15‌ 51' 41'' S;52‌ 23' 20'' W
SBCA;PR0005;AEROPORTO REGIONAL DO OESTE - CEL. ADALBERTO MENDES DA SILVA;CASCAVEL;PR;25‌ 0' 8'' S;53‌ 30' 7'' W
SBCB;RJ0003;CABO FRIO;CABO FRIO;RJ;22‌ 55' 15'' S;42‌ 4' 17'' W
SBCD;SC0006;PREFEITO DR. CARLOS ALBERTO DA COSTA NEVES;CA‌ADOR;SC;26‌ 47' 17'' S;50‌ 56' 24'' W
SBCF;MG0001;TANCREDO NEVES;BELO HORIZONTE;MG;19‌ 37' 28'' S;43‌ 58' 19'' W
SBCG;MS0001;CAMPO GRANDE;CAMPO GRANDE;MS;20‌ 28' 10'' S;54‌ 40' 13'' W
SBCH;SC0003;SERAFIN ENOSS BERTASO;CHAPEC‌;SC;27‌ 8' 2'' S;52‌ 39' 32'' W
