cod_ICAO,CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE
1,SBAC,CE0004,AEROPORTO REGIONAL DE CANOA QUEBRADA DRAGÃO DO MAR,ARACATI,CE,4° 34' 7'' S,37° 48' 17'' W
2,SBAE,SP0010,BAURU/AREALVA,BAURU,SP,22° 9' 28'' S,49° 4' 6'' W
3,SBAQ,SP0012,BARTOLOMEU DE GUSMÃO,ARARAQUARA,SP,21° 48' 43'' S,48° 7' 59'' W
4,SBAR,SE0001,SANTA MARIA,ARACAJU,SE,10° 59' 7'' S,37° 4' 24'' W
5,SBAT,MT0003,PILOTO OSVALDO MARQUES DIAS,ALTA FLORESTA,MT,9° 51' 59'' S,56° 6' 18'' W
6,SBAU,SP0009,ARAÇATUBA,ARAÇATUBA,SP,21° 8' 39'' S,50° 25' 35'' W
7,SBBE,PA0001,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,BELÉM,PA,1° 23' 5'' S,48° 28' 44'' W
8,SBBR,DF0001,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,DF,15° 52' 9'' S,47° 55' 15'' W
9,SBBV,RR0001,ATLAS BRASIL CANTANHEDE,BOA VISTA,RR,2° 50' 29'' N,60° 41' 32'' W
10,SBBW,MT0008,BARRA DO GARÇAS,BARRA DO GARÇAS,MT,15° 51' 41'' S,52° 23' 20'' W
11,SBCA,PR0005,AEROPORTO REGIONAL DO OESTE - CEL. ADALBERTO MENDES DA SILVA,CASCAVEL,PR,25° 0' 8'' S,53° 30' 7'' W
12,SBCB,RJ0003,CABO FRIO,CABO FRIO,RJ,22° 55' 15'' S,42° 4' 17'' W
13,SBCF,MG0001,TANCREDO NEVES,BELO HORIZONTE,MG,19° 37' 28'' S,43° 58' 19'' W
14,SBCG,MS0001,CAMPO GRANDE,CAMPO GRANDE,MS,20° 28' 10'' S,54° 40' 13'' W
15,SBCH,SC0003,SERAFIN ENOSS BERTASO,CHAPECÓ,SC,27° 8' 2'' S,52° 39' 32'' W
16,SBCJ,PA0006,CARAJÁS,PARAUAPEBAS,PA,6° 6' 55'' S,50° 0' 5'' W
17,SBCN,GO0003,NELSON RODRIGUES GUIMARÃES,CALDAS NOVAS,GO,17° 43' 30'' S,48° 36' 23'' W
18,SBCP,RJ0006,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES,RJ,21° 42' 4'' S,41° 18' 28'' W
19,SBCR,MS0009,CORUMBÁ,CORUMBÁ,MS,19° 0' 43'' S,57° 40' 17'' W
20,SBCT,PR0001,AFONSO PENA,CURITIBA,PR,25° 31' 54'' S,49° 10' 34'' W
21,SBCX,RS0007,HUGO CANTERGIANI,CAXIAS DO SUL,RS,29° 11' 53'' S,51° 11' 12'' W
22,SBCY,MT0001,MARECHAL RONDON,CUIABÁ,MT,15° 39' 0'' S,56° 7' 3'' W
