cod_aeroport,sigla_aeroporto
1,SBAC
2,SBAE
3,SBAQ
4,SBAR
5,SBAT
6,SBAU
7,SBBE
8,SBBR
9,SBBV
10,SBBW
11,SBCA
12,SBCB
13,SBCF
14,SBCG
15,SBCH
16,SBCJ
17,SBCN
18,SBCP
19,SBCR
20,SBCT
21,SBCX
22,SBCY
23,SBDB
24,SBDN
25,SBDO
26,SBEG
27,SBFI
28,SBFL
29,SBFN
30,SBFZ
31,SBGL
32,SBGO
33,SBGR
34,SBGU
35,SBGV
36,SBHT
37,SBIL
38,SBIP
39,SBIZ
40,SBJA
41,SBJE
42,SBJI
43,SBJP
44,SBJU
45,SBJV
46,SBKG
47,SBKP
48,SBLE
49,SBLJ
50,SBLO
51,SBMA
52,SBMD
53,SBME
54,SBMG
55,SBMK
56,SBML
57,SBMO
58,SBMQ
59,SBMS
60,SBNF
61,SBNM
62,SBPA
63,SBPB
64,SBPF
65,SBPG
66,SBPJ
67,SBPK
68,SBPL
69,SBPS
70,SBPV
71,SBQV
72,SBRD
73,SBRF
74,SBRJ
75,SBRP
76,SBSG
77,SBSJ
78,SBSL
79,SBSM
80,SBSN
81,SBSO
82,SBSP
83,SBSR
84,SBSV
85,SBTD
86,SBTE
87,SBTF
88,SBTG
89,SBTT
90,SBUF
91,SBUG
92,SBUL
93,SBUR
94,SBVG
95,SBVH
96,SBVT
97,SBZM
98,SJHG
99,SNBR
100,SNMZ
101,SNTF
102,SNVB
103,SNVS
104,SNYA
105,SSKW
106,SSOU
107,SSPB
108,SWFX
109,SWHP
110,SWJN
111,SWLC
112,SWMW
113,SWPI
114,SWSI
115,SWTS
116,SBCZ
117,SBRB
118,SBSI
119,SBVC
120,SWGN
121,SBIH
122,SBUA
123,SBUY
124,SWEI
125,SIZX
126,SBFE
127,SBAX
128,SWCA
129,SWLB
130,SBAA
131,SBBG
132,SBBH
133,SBBI
134,SBBP
135,SBBU
136,SBCD
137,SBCI
138,SBEK
139,SBFS
140,SBGM
141,SBGW
142,SBIC
143,SBJD
144,SBJF
145,SBJH
146,SBJR
147,SBLP
148,SBMI
149,SBMT
150,SBMY
151,SBNV
152,SBOI
153,SBPC
154,SBPO
155,SBPP
156,SBTB
157,SBTC
158,SBTK
159,SBTU
160,SDAA
161,SDAD
162,SDAE
163,SDAG
164,SDAI
165,SDAM
166,SDBA
167,SDBB
168,SDBK
169,SDBY
170,SDCA
171,SDCG
172,SDCO
173,SDDN
174,SDDR
175,SDEP
176,SDET
177,SDFD
178,SDFX
179,SDGC
180,SDH2
181,SDIG
182,SDIM
183,SDIV
184,SDIY
185,SDJC
186,SDJO
187,SDJV
188,SDK7
189,SDKJ
190,SDKK
191,SDLL
192,SDLP
193,SDLY
194,SDMH
195,SDMJ
196,SDMO
197,SDNH
198,SDNM
199,SDNO
200,SDOU
201,SDOV
202,SDOW
203,SDPD
204,SDPE
205,SDPN
206,SDPV
207,SDPW
208,SDPY
209,SDRK
210,SDRR
211,SDRS
212,SDSC
213,SDTB
214,SDTF
215,SDTI
216,SDTK
217,SDTP
218,SDUB
219,SDUN
220,SDUQ
221,SDVE
222,SDVG
223,SDWQ
224,SDXF
225,SDXJ
226,SDZG
227,SI68
228,SIBU
229,SIBW
230,SIBY
231,SIBZ
232,SICB
233,SILC
234,SIMK
235,SJ4Y
236,SJAU
237,SJBY
238,SJGU
239,SJOG
240,SJQN
241,SJRG
242,SJTS
243,SJVO
244,SJXI
245,SJZA
246,SN3Y
247,SN6L
248,SNAB
249,SNAE
250,SNAG
251,SNAL
252,SNAP
253,SNAR
254,SNAS
255,SNAX
256,SNBA
257,SNBC
258,SNBG
259,SNBI
260,SNBM
261,SNBS
262,SNBX
263,SNBZ
264,SNCA
265,SNCP
266,SNCS
267,SNCT
268,SNCX
269,SNCZ
270,SNDC
271,SNDT
272,SNDV
273,SNEB
274,SNED
275,SNEE
276,SNFE
277,SNFO
278,SNFU
279,SNFX
280,SNGA
281,SNGB
282,SNGD
283,SNGG
284,SNGI
285,SNGN
286,SNGX
287,SNHS
288,SNIB
289,SNIC
290,SNIE
291,SNIG
292,SNIO
293,SNIP
294,SNIT
295,SNIU
296,SNJB
297,SNJK
298,SNJM
299,SNJP
300,SNJQ
301,SNJR
302,SNKD
303,SNKF
304,SNKI
305,SNKN
306,SNKR
307,SNLI
308,SNLN
309,SNLO
310,SNLT
311,SNMA
312,SNMH
313,SNMJ
314,SNMK
315,SNMN
316,SNMR
317,SNMX
318,SNNE
319,SNNU
320,SNOE
321,SNOF
322,SNOS
323,SNOX
324,SNPA
325,SNPC
326,SNPD
327,SNPJ
328,SNPQ
329,SNPU
330,SNPX
331,SNPY
332,SNQD
333,SNQG
334,SNQU
335,SNQV
336,SNQX
337,SNRD
338,SNRM
339,SNRP
340,SNRU
341,SNRX
342,SNRZ
343,SNSE
344,SNSG
345,SNSI
346,SNSM
347,SNSS
348,SNTI
349,SNTO
350,SNTQ
351,SNTS
352,SNUB
353,SNUH
354,SNUI
355,SNUN
356,SNVC
357,SNVD
358,SNVI
359,SNWC
360,SNWS
361,SNXB
362,SNXQ
363,SNYB
364,SNYE
365,SNYU
366,SNZA
367,SNZR
368,SSAB
369,SSAE
370,SSAK
371,SSAN
372,SSAP
373,SSAQ
374,SSBL
375,SSBN
376,SSBV
377,SSCB
378,SSCD
379,SSCI
380,SSCK
381,SSCL
382,SSCN
383,SSCP
384,SSCR
385,SSCT
386,SSEE
387,SSEP
388,SSER
389,SSEZ
390,SSFB
391,SSFL
392,SSGA
393,SSGB
394,SSGG
395,SSGW
396,SSGY
397,SSHZ
398,SSIE
399,SSIJ
400,SSIM
401,SSIQ
402,SSIR
403,SSJA
404,SSJI
405,SSJK
406,SSKG
407,SSKK
408,SSKM
409,SSKS
410,SSKU
411,SSKZ
412,SSLG
413,SSLN
414,SSLO
415,SSLT
416,SSMJ
417,SSMR
418,SSMT
419,SSNB
420,SSNG
421,SSNH
422,SSNP
423,SSNQ
424,SSOE
425,SSOG
426,SSOI
427,SSOL
428,SSOS
429,SSPG
430,SSPI
431,SSPL
432,SSPM
433,SSPN
434,SSPS
435,SSPT
436,SSQC
437,SSQP
438,SSQT
439,SSRE
440,SSRF
441,SSRG
442,SSRS
443,SSRU
444,SSRZ
445,SSSB
446,SSSC
447,SSSD
448,SSSG
449,SSSS
450,SSST
451,SSSZ
452,SSTB
453,SSTE
454,SSUM
455,SSUV
456,SSVI
457,SSVL
458,SSVN
459,SSWS
460,SSXX
461,SSZR
462,SWBC
463,SWBE
464,SWBG
465,SWBR
466,SWCB
467,SWCQ
468,SWCZ
469,SWDM
470,SWDN
471,SWEK
472,SWFN
473,SWFR
474,SWGI
475,SWHT
476,SWII
477,SWIQ
478,SWJW
479,SWKC
480,SWKO
481,SWKQ
482,SWKT
483,SWME
484,SWNH
485,SWNK
486,SWNQ
487,SWNS
488,SWOB
489,SWPG
490,SWPK
491,SWPM
492,SWPR
493,SWPY
494,SWPZ
495,SWRO
496,SWTO
497,SWTP
498,SWTY
499,SWUA
500,SWUD
501,SWUZ
502,SWVC
503,SWWA
504,SWWU
505,SWXM
506,SWXQ
507,SWXV
508,SWYN
